P3,B区,B307~B310,03-0003-0038,760x1065,抱杆
P3,B区,B313~B316,03-0003-0039,760x1066,抱杆
P3,B区,B268~B271,03-0003-0040,760x1065,抱杆
P3,B区,B239~B241,03-0003-0041,760x1065,抱杆
P3,B区,B247~B249,03-0003-0042,760x1065,抱杆
P3,B区,B253~B255,03-0003-0043,760x1065,抱杆
P3,B区,B263~B266,03-0003-0044,760x1065,抱杆
P3,B区,B174~B177,03-0003-0045,760x1065,抱杆
P3,B区,B182~B185,03-0003-0046,760x1065,抱杆
P3,B区,B189~B192,03-0003-0047,760x1065,抱杆
P3,B区,B059~B062,03-0003-0048,760x1065,抱杆
P3,B区,B099~B104,03-0003-0049,760x1065,抱杆
P3,B区,B116~B120,03-0003-0050,760x1065,抱杆
P3,B区,B127~B115,03-0003-0051,760x1065,抱杆
P3,B区,B054~B056,03-0003-0052,760x1065,抱杆
P3,B区,B080~B083,03-0003-0053,760x1065,抱杆
P3,B区,B093~B096,03-0003-0054,760x1065,抱杆
P3,B区,B043~B047,03-0003-0055,760x1065,抱杆
P3,B区,B028~B032,03-0003-0056,760x1065,抱杆
P3,B区,B020~B024,03-0003-0057,760x1065,抱杆
P3,,出口,03-0003-0058,760x1065,抱杆
P3,,B区C区入口,03-0003-0059,760x1065,抱杆
P3,C区,C003~C006,03-0003-0060,760x1065,抱杆
P3,,出入口,03-0003-0061,760x1065,抱杆
P3,C区,C009~C012,03-0003-0062,760x1065,抱杆
P3,,出入口,03-0003-0063,760x1065,抱杆
P1,,010~014,03-0001-0001,500x700,立杆
P1,,039~042,03-0001-0002,500x700,立杆
P1,,065~070,03-0001-0003,500x700,立杆
P1,,095~098,03-0001-0004,500x700,立杆
P1,,120~126,03-0001-0005,500x700,立杆
P1,,136~140,03-0001-0006,500x700,立杆
P1,,001~005,03-0001-0007,500x700,抱杆
P1,,029~032,03-0001-0008,500x700,抱杆
P1,,057~060,03-0001-0009,500x700,抱杆
P1,,085~090,03-0001-0010,500x700,抱杆
P1,,113~116,03-0001-0011,500x700,抱杆
P1,,127~130,03-0001-0012,500x700,抱杆
P1,,141~154,03-0001-0013,760x1065,抱杆
P1,,329~334,03-0001-0014,760x1065,抱杆
P1,,130~135,03-0001-0015,760x1065,抱杆
P1,,出入口C,03-0001-0016,760x1065,抱杆
P1,,005~009,03-0001-0017,760x1065,抱杆
P1,,040~045,03-0001-0018,500x700,立杆
P1,,110~114,03-0001-0019,500x700,立杆
P1,,175~179,03-0001-0020,500x700,立杆
P1,,249~253,03-0001-0021,500x700,立杆
P1,,310~314,03-0001-0022,500x700,立杆
P1,,284~299,03-0001-0023,500x700,立杆
P1,,269~272,03-0001-0024,500x700,抱杆
P1,,206~209,03-0001-0025,500x700,抱杆
P1,,136~140,03-0001-0026,500x700,抱杆
P1,,061~065,03-0001-0027,500x700,抱杆
P1,,出入口A,03-0001-0028,760x1065,抱杆
P1,,280~283,03-0001-0029,500x700,立杆
P1,,160~164,03-0001-0030,500x700,立杆
P1,,081~084,03-0001-0031,500x700,立杆
P1,,出入口B,03-0001-0032,760x1065,抱杆
P4,E区,E028~E031,03-0004-0001,500x700,立杆
P4,E区,E100~E104,03-0004-0002,500x700,立杆
P4,E区,E176~E180,03-0004-0003,500x700,立杆
P4,F区,F056~F060,03-0004-0004,760x1065,抱杆
P4,F区,F016~F018,03-0004-0005,760x1065,抱杆
P4,E区,E016~E023,03-0004-0006,500x700,抱杆
P4,E区,E087~E091,03-0004-0007,500x700,抱杆
P4,E区,E161~E165,03-0004-0008,500x700,抱杆
P4,E区,E238~E242,03-0004-0009,760x1065,抱杆
P4,E区,E252~E256,03-0004-0010,760x1065,抱杆
P4,E区,E269~E273,03-0004-0011,760x1065,抱杆
P4,E区,E070~E062,03-0004-0012,760x1065,抱杆
P4,E区,E137~E142,03-0004-0013,500x700,抱杆
P4,E区,E215~E218,03-0004-0014,500x700,抱杆
P4,F区,F041~F044,03-0004-0015,760x1065,抱杆
P4,F区,F001~F005,03-0004-0016,760x1065,抱杆
P4,D区,D270~D275,03-0004-0017,500x700,立杆
P4,D区,D282~D285,03-0004-0018,500x700,抱杆
P4,D区,D340~D344,03-0004-0019,500x700,立杆
P4,D区,D371~D375,03-0004-0020,500x700,立杆
P4,D区,D233~D237,03-0004-0021,500x700,抱杆
P4,D区,D238~D242,03-0004-0022,500x700,立杆
P4,D区,D200~D205,03-0004-0023,500x700,立杆
P4,D区,D195~D199,03-0004-0024,500x700,抱杆
P4,D区,D400~D406,03-0004-0025,500x700,立杆
P4,D区,D179~D183,03-0004-0026,500x700,抱杆
P4,D区,D030~D034,03-0004-0027,500x700,立杆
P4,D区,D003~D007,03-0004-0028,500x700,立杆
P4,D区,D035~D038,03-0004-0029,500x700,立杆
P4,D区,D145~D149,03-0004-0030,500x700,立杆
P4,D区,D120~D125,03-0004-0031,500x700,立杆
P4,D区,D067~D082,03-0004-0032,500x700,立杆
P4,C区,C016~C022,03-0004-0033,500x700,立杆
P4,C区,C042~C046,03-0004-0034,500x700,立杆
P4,C区,C061~C067,03-0004-0035,500x700,抱杆
P4,C区,C095~C099,03-0004-0036,500x700,立杆
P4,C区,C142~C146,03-0004-0037,500x700,抱杆
P4,C区,C116~C120,03-0004-0038,500x700,立杆
P4,C区,C175~C178,03-0004-0039,500x700,立杆
P4,C区,C236~C240,03-0004-0040,500x700,抱杆
P4,C区,C197~C201,03-0004-0041,500x700,立杆
P4,B区,B260~B264,03-0004-0042,500x700,立杆
P4,B区,B234~B236,03-0004-0043,500x700,立杆
P4,B区,B001~B005,03-0004-0044,500x700,立杆
P4,B区,B037~B040,03-0004-0045,500x700,立杆
P4,B区,B076~B080,03-0004-0046,500x700,立杆
P4,B区,B255~B259,03-0004-0047,500x700,抱杆
P4,B区,B208~B212,03-0004-0048,500x700,抱杆
P4,B区,B162~B165,03-0004-0049,500x700,抱杆
P4,B区,B130~B133,03-0004-0050,500x700,抱杆
P4,B区,B138~B142,03-0004-0051,500x700,立杆
P4,B区,B183~B187,03-0004-0052,500x700,立杆
P4,B区,B216~B220,03-0004-0053,500x700,立杆
P4,B区,B350~B354,03-0004-0054,500x700,立杆
P4,B区,B316~B320,03-0004-0055,500x700,立杆
P4,A区,A236~A241,03-0004-0056,500x700,立杆
P4,A区,A201~A205,03-0004-0057,500x700,立杆
P4,A区,A230~A234,03-0004-0058,500x700,抱杆
P4,A区,A194~A199,03-0004-0059,500x700,抱杆
P4,A区,A109~A111,03-0004-0060,500x700,抱杆
P4,A区,A145~A148,03-0004-0061,500x700,抱杆
P4,A区,A058~A062,03-0004-0062,500x700,立杆
P4,A区,A022~A034,03-0004-0063,500x700,立杆
P4,大巴区,015~017,03-0004-0064,500x700,立杆
P4,,012~014,03-0004-0065,760x1065,抱杆
P4,,001~003,03-0004-0066,760x1065,抱杆
P4,大巴区,029~031,03-0004-0067,760x1065,抱杆
P4,,B出口,03-0004-0068,760x1065,抱杆
P4,,A001~A005,03-0004-0069,760x1065,抱杆
P4,,C出口,03-0004-0070,760x1065,抱杆
P4,,D出口,03-0004-0071,760x1065,抱杆
P4,,A183~A187,03-0004-0072,760x1065,抱杆
P4,,B089~B091,03-0004-0073,760x1065,抱杆
P4,,A出口,03-0004-0074,760x1065,抱杆
奕欧来购物村入口01,,,05-0001-0001,330x480,抱杆
奕欧来购物村入口02,,,05-0001-0002,330x480,抱杆
奕欧来购物村入口03,,,05-0001-0003,330x480,抱杆
奕欧来购物村入口04,,,05-0001-0004,330x480,抱杆
购物村站(内圈),1/2 路,,02-0001-0001,500x700,抱杆
申迪中心站(内圈),1/2 路,,02-0001-0002,500x700,抱杆
迪斯尼乐园酒店站(内圈),1/2 路,,02-0001-0003,500x700,抱杆
西公交枢纽站,1/2 路,,02-0001-0004,500x700,抱杆
玩具总动员酒店站(内圈),2路,,02-0001-0005,500x700,抱杆
申迪北路站(内圈),2路,,02-0001-0006,500x700,抱杆
奇妙路地铁站,1/2/3 路,,02-0001-0007,500x700,抱杆
购物村站(外圈),1/3 路,,02-0001-0008,500x700,抱杆
申迪北路站(外圈),3路,,02-0001-0009,500x700,抱杆
玩具总动员酒店站(外圈),3路,,02-0001-0010,500x700,抱杆
南公交枢纽站,1/3 路,,02-0001-0011,500x700,抱杆
申迪中心站(外圈),1/3 路,,02-0001-0012,500x700,抱杆
